time,volume,open,high,low,close
2019-03-04 20:12:00,2,111.732,111.735,111.732,111.735
2019-03-04 20:13:00,5,111.732,111.732,111.723,111.723
2019-03-04 20:14:00,9,111.726,111.730,111.722,111.730
2019-03-04 20:15:00,5,111.732,111.734,111.730,111.732
2019-03-04 20:16:00,3,111.730,111.735,111.730,111.735
2019-03-04 20:17:00,11,111.732,111.735,111.720,111.723
2019-03-04 20:18:00,6,111.726,111.726,111.720,111.722
2019-03-04 20:19:00,7,111.720,111.723,111.718,111.720
2019-03-04 20:20:00,8,111.718,111.718,111.714,111.716
2019-03-04 20:21:00,3,111.718,111.722,111.718,111.719
2019-03-04 20:22:00,6,111.721,111.726,111.719,111.724
2019-03-04 20:23:00,4,111.722,111.724,111.719,111.724
2019-03-04 20:24:00,6,111.726,111.730,111.723,111.723
2019-03-04 20:25:00,5,111.726,111.726,111.722,111.724
2019-03-04 20:26:00,6,111.722,111.724,111.722,111.724
2019-03-04 20:27:00,1,111.728,111.728,111.728,111.728
2019-03-04 20:28:00,6,111.725,111.730,111.724,111.727
2019-03-04 20:29:00,8,111.725,111.725,111.720,111.722
2019-03-04 20:30:00,4,111.720,111.722,111.720,111.722
2019-03-04 20:31:00,6,111.720,111.722,111.718,111.718
2019-03-04 20:32:00,4,111.716,111.716,111.710,111.714
2019-03-04 20:33:00,2,111.711,111.711,111.708,111.708
2019-03-04 20:34:00,5,111.711,111.711,111.706,111.710
2019-03-04 20:35:00,5,111.708,111.710,111.708,111.708
2019-03-04 20:36:00,9,111.704,111.704,111.698,111.703
2019-03-04 20:37:00,14,111.706,111.712,111.704,111.708
2019-03-04 20:38:00,5,111.710,111.710,111.706,111.710
2019-03-04 20:39:00,5,111.708,111.708,111.700,111.702
2019-03-04 20:40:00,5,111.700,111.706,111.700,111.704
2019-03-04 20:41:00,5,111.706,111.706,111.699,111.702
2019-03-04 20:42:00,8,111.704,111.706,111.702,111.702
2019-03-04 20:43:00,4,111.704,111.704,111.698,111.698
2019-03-04 20:44:00,13,111.700,111.712,111.698,111.710
2019-03-04 20:45:00,3,111.712,111.715,111.712,111.713
2019-03-04 20:46:00,4,111.710,111.710,111.708,111.708
2019-03-04 20:47:00,7,111.705,111.708,111.699,111.699
2019-03-04 20:48:00,5,111.702,111.706,111.702,111.702
2019-03-04 20:49:00,1,111.699,111.699,111.699,111.699
2019-03-04 20:50:00,3,111.702,111.704,111.702,111.702
2019-03-04 20:51:00,3,111.699,111.702,111.699,111.699
2019-03-04 20:52:00,6,111.702,111.702,111.698,111.698
2019-03-04 20:53:00,9,111.700,111.706,111.698,111.700
2019-03-04 20:54:00,6,111.698,111.703,111.698,111.701
2019-03-04 20:55:00,9,111.698,111.704,111.698,111.698
2019-03-04 20:56:00,3,111.700,111.700,111.698,111.700
2019-03-04 20:57:00,8,111.698,111.702,111.694,111.702
2019-03-04 20:58:00,6,111.704,111.708,111.704,111.706
2019-03-04 20:59:00,15,111.708,111.711,111.698,111.698
2019-03-04 21:00:00,5,111.696,111.701,111.696,111.701
